unidade;ano;mes;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HJXXIII;2023;8;VII;30 a 34;0,75;2;2;1,5
HJXXIII;2023;9;II;5 a 9;0,08;18;2;1,44
HJXXIII;2023;9;III;10 a 14;0,15;29;1;4,35
HJXXIII;2023;9;IV;15 a 19;0,25;46;12;11,5
HJXXIII;2023;9;V;20 a 24;0,4;15;3;6,0
HJXXIII;2023;9;VI;25 a 29;0,55;7;4;3,85
HJXXIII;2023;9;VII;30 a 34;0,75;4;4;3,0
HJXXIII;2023;9;VIII;> 34;0,85;7;7;5,95
HJXXIII;2023;10;I;0 a 4;0,04;11;1;0,44
HJXXIII;2023;10;II;5 a 9;0,08;39;1;3,12
HJXXIII;2023;10;III;10 a 14;0,15;32;4;4,8
HJXXIII;2023;10;IV;15 a 19;0,25;28;6;7,0
HJXXIII;2023;10;V;20 a 24;0,4;14;5;5,6
HJXXIII;2023;10;VI;25 a 29;0,55;6;3;3,3
HJXXIII;2023;10;VII;30 a 34;0,75;1;1;0,75
HJXXIII;2023;11;III;10 a 14;0,15;49;6;7,35
HJXXIII;2023;11;IV;15 a 19;0,25;33;6;8,25
HJXXIII;2023;11;V;20 a 24;0,4;24;7;9,6
HJXXIII;2023;11;VI;25 a 29;0,55;12;8;6,6
HJXXIII;2023;11;VII;30 a 34;0,75;5;4;3,75
HJXXIII;2023;11;VIII;> 34;0,85;3;2;2,55
HJXXIII;2023;12;II;5 a 9;0,08;19;1;1,52
HJXXIII;2023;12;III;10 a 14;0,15;42;5;6,3
HJXXIII;2023;12;IV;15 a 19;0,25;31;4;7,75
HJXXIII;2023;12;V;20 a 24;0,4;15;4;6,0
HJXXIII;2023;12;VI;25 a 29;0,55;4;1;2,2
HJXXIII;2023;12;VII;30 a 34;0,75;5;3;3,75
HJXXIII;2023;12;VIII;> 34;0,85;4;4;3,4
HJXXIII;2024;1;I;0 a 4;0,04;16;2;0,64
HJXXIII;2024;1;IV;15 a 19;0,25;43;10;10,75
HJXXIII;2024;1;V;20 a 24;0,4;28;14;11,2
HJXXIII;2024;1;VI;25 a 29;0,55;8;4;4,4
HJXXIII;2024;1;VII;30 a 34;0,75;7;6;5,25
HJXXIII;2024;2;I;0 a 4;0,04;9;1;0,36
HJXXIII;2024;2;II;5 a 9;0,08;26;1;2,08
HJXXIII;2024;2;IV;15 a 19;0,25;32;6;8,0
HJXXIII;2024;2;V;20 a 24;0,4;23;5;9,2
HJXXIII;2024;2;VI;25 a 29;0,55;11;3;6,05
HJXXIII;2024;2;VII;30 a 34;0,75;8;5;6,0
HJXXIII;2024;3;III;10 a 14;0,15;42;3;6,3
HJXXIII;2024;3;IV;15 a 19;0,25;37;5;9,25
HJXXIII;2024;3;V;20 a 24;0,4;23;10;9,2
HJXXIII;2024;3;VI;25 a 29;0,55;3;1;1,65
HJXXIII;2024;3;VII;30 a 34;0,75;7;6;5,25
HJXXIII;2024;4;II;5 a 9;0,08;22;1;1,76
HJXXIII;2024;4;III;10 a 14;0,15;37;1;5,55
HJXXIII;2024;4;IV;15 a 19;0,25;36;5;9,0
HJXXIII;2024;4;V;20 a 24;0,4;16;6;6,4
HJXXIII;2024;4;VI;25 a 29;0,55;6;4;3,3
HJXXIII;2024;4;VII;30 a 34;0,75;4;3;3,0
HJXXIII;2024;5;II;5 a 9;0,08;28;2;2,24
HJXXIII;2024;5;III;10 a 14;0,15;38;4;5,7
HJXXIII;2024;5;IV;15 a 19;0,25;49;7;12,25
HJXXIII;2024;5;V;20 a 24;0,4;29;8;11,6
HJXXIII;2024;5;VI;25 a 29;0,55;10;6;5,5
HJXXIII;2024;5;VII;30 a 34;0,75;6;4;4,5
HJXXIII;2024;5;VIII;> 34;0,85;3;3;2,55
HJXXIII;2024;6;II;5 a 9;0,08;30;1;2,4
HJXXIII;2024;6;III;10 a 14;0,15;36;1;5,4
HJXXIII;2024;6;IV;15 a 19;0,25;42;6;10,5
HJXXIII;2024;6;V;20 a 24;0,4;21;5;8,4
HJXXIII;2024;6;VI;25 a 29;0,55;7;1;3,85
HJXXIII;2024;6;VIII;> 34;0,85;4;2;3,4
HJXXIII;2024;7;II;5 a 9;0,08;27;2;2,16
HJXXIII;2024;7;IV;15 a 19;0,25;40;7;10,0
HJXXIII;2024;7;V;20 a 24;0,4;18;8;7,2
HJXXIII;2024;7;VI;25 a 29;0,55;17;7;9,35
HJXXIII;2024;7;VII;30 a 34;0,75;9;9;6,75
HJXXIII;2024;7;VIII;> 34;0,85;3;3;2,55
HJXXIII;2024;8;I;0 a 4;0,04;14;1;0,56
HJXXIII;2024;8;III;10 a 14;0,15;50;6;7,5
HJXXIII;2024;8;IV;15 a 19;0,25;33;4;8,25
HJXXIII;2024;8;V;20 a 24;0,4;25;7;10,0
HJXXIII;2024;8;VI;25 a 29;0,55;9;6;4,95
HJXXIII;2024;8;VII;30 a 34;0,75;10;9;7,5
HJXXIII;2024;9;III;10 a 14;0,15;48;3;7,2
HJXXIII;2024;9;IV;15 a 19;0,25;30;6;7,5
HJXXIII;2024;9;V;20 a 24;0,4;14;3;5,6
HJXXIII;2024;9;VI;25 a 29;0,55;9;3;4,95
HJXXIII;2024;9;VII;30 a 34;0,75;4;2;3,0
HJXXIII;2024;9;VIII;> 34;0,85;2;2;1,7
HJXXIII;2024;10;II;5 a 9;0,08;17;1;1,36
HJXXIII;2024;10;III;10 a 14;0,15;23;5;3,45
HJXXIII;2024;10;IV;15 a 19;0,25;24;8;6,0
HJXXIII;2024;10;V;20 a 24;0,4;10;2;4,0
HJXXIII;2024;10;VI;25 a 29;0,55;11;4;6,05
HJXXIII;2024;10;VII;30 a 34;0,75;2;2;1,5
HJXXIII;2024;10;VIII;> 34;0,85;1;1;0,85
HJXXIII;2024;11;II;5 a 9;0,08;23;2;1,84
HJXXIII;2024;11;III;10 a 14;0,15;41;5;6,15
HJXXIII;2024;11;IV;15 a 19;0,25;48;18;12,0
HJXXIII;2024;11;V;20 a 24;0,4;20;8;8,0
HJXXIII;2024;11;VI;25 a 29;0,55;15;10;8,25
HJXXIII;2024;11;VII;30 a 34;0,75;2;2;1,5
HJXXIII;2024;11;VIII;> 34;0,85;2;2;1,7
HJXXIII;2024;12;III;10 a 14;0,15;27;4;4,05
HJXXIII;2024;12;IV;15 a 19;0,25;33;6;8,25
HJXXIII;2024;12;V;20 a 24;0,4;24;7;9,6
HJXXIII;2024;12;VI;25 a 29;0,55;12;6;6,6
HJXXIII;2024;12;VII;30 a 34;0,75;7;6;5,25
HJXXIII;2025;1;II;5 a 9;0,08;29;1;2,32
HJXXIII;2025;1;III;10 a 14;0,15;42;3;6,3
HJXXIII;2025;1;IV;15 a 19;0,25;40;2;10,0
HJXXIII;2025;1;V;20 a 24;0,4;21;6;8,4
HJXXIII;2025;1;VI;25 a 29;0,55;6;2;3,3
HJXXIII;2025;1;VII;30 a 34;0,75;6;6;4,5
HJXXIII;2025;2;III;10 a 14;0,15;36;1;5,4
HJXXIII;2025;2;IV;15 a 19;0,25;27;5;6,75
HJXXIII;2025;2;V;20 a 24;0,4;26;6;10,4
HJXXIII;2025;2;VI;25 a 29;0,55;9;4;4,95
HJXXIII;2025;2;VII;30 a 34;0,75;4;2;3,0
HJXXIII;2025;2;VIII;> 34;0,85;1;1;0,85
HJXXIII;2025;3;III;10 a 14;0,15;36;3;5,4
HJXXIII;2025;3;IV;15 a 19;0,25;44;4;11,0
HJXXIII;2025;3;V;20 a 24;0,4;23;8;9,2
HJXXIII;2025;3;VI;25 a 29;0,55;11;10;6,05
HJXXIII;2025;3;VII;30 a 34;0,75;8;6;6,0
HJXXIII;2025;4;III;10 a 14;0,15;34;1;5,1
HJXXIII;2025;4;IV;15 a 19;0,25;39;6;9,75
HJXXIII;2025;4;V;20 a 24;0,4;28;8;11,2
HJXXIII;2025;4;VI;25 a 29;0,55;10;4;5,5
HJXXIII;2025;4;VII;30 a 34;0,75;5;4;3,75
HJXXIII;2025;4;VIII;> 34;0,85;1;1;0,85
HJXXIII;2025;5;III;10 a 14;0,15;43;2;6,45
HJXXIII;2025;5;IV;15 a 19;0,25;40;4;10,0
HJXXIII;2025;5;V;20 a 24;0,4;24;4;9,6
HJXXIII;2025;5;VI;25 a 29;0,55;7;4;3,85
HJXXIII;2025;5;VII;30 a 34;0,75;7;5;5,25
HJXXIII;2025;5;VIII;> 34;0,85;5;3;4,25
HJXXIII;2025;6;III;10 a 14;0,15;47;1;7,05
HJXXIII;2025;6;IV;15 a 19;0,25;42;6;10,5
HJXXIII;2025;6;V;20 a 24;0,4;31;10;12,4
HJXXIII;2025;6;VI;25 a 29;0,55;5;2;2,75
HJXXIII;2025;6;VII;30 a 34;0,75;4;3;3,0
HJXXIII;2025;6;VIII;> 34;0,85;4;4;3,4
HJXXIII;2025;7;IV;15 a 19;0,25;37;5;9,25
HJXXIII;2025;7;V;20 a 24;0,4;13;6;5,2
HJXXIII;2025;7;VI;25 a 29;0,55;8;5;4,4
HJXXIII;2025;7;VIII;> 34;0,85;1;1;0,85
HJXXIII;2025;8;IV;15 a 19;0,25;48;5;12,0
HJXXIII;2025;8;V;20 a 24;0,4;23;4;9,2
HJXXIII;2025;8;VII;30 a 34;0,75;3;1;2,25
HJXXIII;2025;8;VIII;> 34;0,85;2;2;1,7
HJXXIII;2025;9;III;10 a 14;0,15;47;2;7,05
HJXXIII;2025;9;IV;15 a 19;0,25;46;4;11,5
HJXXIII;2025;9;V;20 a 24;0,4;27;4;10,8
HJXXIII;2025;9;VI;25 a 29;0,55;14;2;7,7
HJXXIII;2025;9;VII;30 a 34;0,75;10;4;7,5
HJXXIII;2025;10;I;0 a 4;0,04;8;1;0,32
HJXXIII;2025;10;II;5 a 9;0,08;34;1;2,72
HJXXIII;2025;10;III;10 a 14;0,15;52;3;7,8
HJXXIII;2025;10;IV;15 a 19;0,25;36;5;9,0
HJXXIII;2025;10;V;20 a 24;0,4;22;4;8,8
HJXXIII;2025;10;VI;25 a 29;0,55;10;4;5,5
HJXXIII;2025;10;VII;30 a 34;0,75;5;4;3,75
HJXXIII;2025;10;VIII;> 34;0,85;2;2;1,7
HJXXIII;2025;11;I;0 a 4;0,04;6;1;0,24
HJXXIII;2025;11;II;5 a 9;0,08;28;2;2,24
HJXXIII;2025;11;III;10 a 14;0,15;39;3;5,85
HJXXIII;2025;11;IV;15 a 19;0,25;52;6;13,0
HJXXIII;2025;11;V;20 a 24;0,4;19;5;7,6
HJXXIII;2025;11;VI;25 a 29;0,55;11;3;6,05
HJXXIII;2025;11;VII;30 a 34;0,75;6;4;4,5
HJXXIII;2025;12;III;10 a 14;0,15;26;1;3,9
HJXXIII;2025;12;IV;15 a 19;0,25;34;6;8,5
HJXXIII;2025;12;V;20 a 24;0,4;23;4;9,2
HJXXIII;2025;12;VI;25 a 29;0,55;13;3;7,15
HJXXIII;2025;12;VII;30 a 34;0,75;2;1;1,5
HJXXIII;2025;12;VIII;> 34;0,85;1;1;0,85
HJXXIII;2026;1;II;5 a 9;0,08;25;1;2,0
HJXXIII;2026;1;III;10 a 14;0,15;44;2;6,6
HJXXIII;2026;1;IV;15 a 19;0,25;38;4;9,5
HJXXIII;2026;1;V;20 a 24;0,4;25;3;10,0
HJXXIII;2026;1;VI;25 a 29;0,55;12;2;6,6
HJXXIII;2026;1;VII;30 a 34;0,75;4;3;3,0
HJXXIII;2026;1;VIII;> 34;0,85;3;2;2,55
HJXXIII;2026;2;I;0 a 4;0,04;3;1;0,12
HJXXIII;2026;2;IV;15 a 19;0,25;18;4;4,5
HJXXIII;2026;2;V;20 a 24;0,4;20;7;8,0
HJXXIII;2026;2;VI;25 a 29;0,55;12;1;6,6
HJXXIII;2026;2;VII;30 a 34;0,75;3;2;2,25
HJXXIII;2026;2;VIII;> 34;0,85;2;2;1,7
HJK;2019;1;III;10 a 14;0,15;13;1;1,95
HJK;2019;1;IV;15 a 19;0,25;22;4;5,5
HJK;2019;1;V;20 a 24;0,4;10;2;4,0
HJK;2019;1;VI;25 a 29;0,55;6;3;3,3
HJK;2019;1;VII;30 a 34;0,75;5;2;3,75
HJK;2019;1;VIII;> 34;0,85;4;3;3,4
HJK;2019;2;III;10 a 14;0,15;23;2;3,45
HJK;2019;2;IV;15 a 19;0,25;19;1;4,75
HJK;2019;2;V;20 a 24;0,4;10;2;4,0
HJK;2019;2;VI;25 a 29;0,55;8;2;4,4
HJK;2019;2;VII;30 a 34;0,75;4;1;3,0
HJK;2019;2;VIII;> 34;0,85;5;1;4,25
HJK;2019;3;III;10 a 14;0,15;23;1;3,45
HJK;2019;3;IV;15 a 19;0,25;17;2;4,25
HJK;2019;3;V;20 a 24;0,4;11;2;4,4
HJK;2019;3;VI;25 a 29;0,55;9;3;4,95
HJK;2019;3;VII;30 a 34;0,75;2;1;1,5
HJK;2019;3;VIII;> 34;0,85;1;1;0,85
HJK;2019;4;IV;15 a 19;0,25;31;2;7,75
HJK;2019;4;V;20 a 24;0,4;16;1;6,4
HJK;2019;4;VI;25 a 29;0,55;8;2;4,4
HJK;2019;4;VII;30 a 34;0,75;5;3;3,75
HJK;2019;4;VIII;> 34;0,85;3;2;2,55
HJK;2019;5;III;10 a 14;0,15;19;1;2,85
HJK;2019;5;IV;15 a 19;0,25;13;1;3,25
HJK;2019;5;V;20 a 24;0,4;8;1;3,2
HJK;2019;5;VI;25 a 29;0,55;15;4;8,25
HJK;2019;5;VII;30 a 34;0,75;5;2;3,75
HJK;2019;6;IV;15 a 19;0,25;14;2;3,5
HJK;2019;6;V;20 a 24;0,4;11;3;4,4
HJK;2019;6;VI;25 a 29;0,55;9;1;4,95
HJK;2019;6;VII;30 a 34;0,75;9;5;6,75
HJK;2019;6;VIII;> 34;0,85;3;2;2,55
HJK;2019;7;II;5 a 9;0,08;6;1;0,48
HJK;2019;7;III;10 a 14;0,15;26;2;3,9
HJK;2019;7;IV;15 a 19;0,25;20;1;5,0
HJK;2019;7;V;20 a 24;0,4;11;1;4,4
HJK;2019;7;VI;25 a 29;0,55;14;3;7,7
HJK;2019;7;VII;30 a 34;0,75;5;1;3,75
HJK;2019;7;VIII;> 34;0,85;4;2;3,4
HJK;2019;8;III;10 a 14;0,15;13;1;1,95
HJK;2019;8;IV;15 a 19;0,25;25;1;6,25
HJK;2019;8;V;20 a 24;0,4;11;2;4,4
HJK;2019;8;VII;30 a 34;0,75;6;3;4,5
HJK;2019;9;V;20 a 24;0,4;9;2;3,6
HJK;2019;9;VI;25 a 29;0,55;15;2;8,25
HJK;2019;9;VII;30 a 34;0,75;7;3;5,25
HJK;2019;9;VIII;> 34;0,85;1;1;0,85
HJK;2019;10;III;10 a 14;0,15;27;1;4,05
HJK;2019;10;IV;15 a 19;0,25;23;1;5,75
HJK;2019;10;V;20 a 24;0,4;12;1;4,8
HJK;2019;10;VI;25 a 29;0,55;10;4;5,5
HJK;2019;10;VII;30 a 34;0,75;6;3;4,5
HJK;2019;10;VIII;> 34;0,85;7;5;5,95
HJK;2019;11;IV;15 a 19;0,25;18;2;4,5
HJK;2019;11;VI;25 a 29;0,55;13;3;7,15
HJK;2019;11;VII;30 a 34;0,75;9;5;6,75
HJK;2019;11;VIII;> 34;0,85;2;2;1,7
HJK;2019;12;VI;25 a 29;0,55;10;2;5,5
HJK;2019;12;VII;30 a 34;0,75;4;2;3,0
HJK;2019;12;VIII;> 34;0,85;4;3;3,4
HJK;2020;1;IV;15 a 19;0,25;17;2;4,25
HJK;2020;1;V;20 a 24;0,4;17;2;6,8
HJK;2020;1;VI;25 a 29;0,55;5;2;2,75
HJK;2020;1;VII;30 a 34;0,75;6;1;4,5
HJK;2020;1;VIII;> 34;0,85;2;2;1,7
HJK;2020;2;IV;15 a 19;0,25;21;3;5,25
HJK;2020;2;V;20 a 24;0,4;8;1;3,2
HJK;2020;2;VI;25 a 29;0,55;9;3;4,95
HJK;2020;2;VII;30 a 34;0,75;4;3;3,0
HJK;2020;2;VIII;> 34;0,85;2;1;1,7
HJK;2020;3;IV;15 a 19;0,25;18;1;4,5
HJK;2020;3;V;20 a 24;0,4;14;1;5,6
HJK;2020;3;VI;25 a 29;0,55;12;3;6,6
HJK;2020;3;VII;30 a 34;0,75;4;3;3,0
HJK;2020;4;III;10 a 14;0,15;14;3;2,1
HJK;2020;4;IV;15 a 19;0,25;14;2;3,5
HJK;2020;4;V;20 a 24;0,4;12;2;4,8
HJK;2020;4;VI;25 a 29;0,55;9;3;4,95
HJK;2020;4;VII;30 a 34;0,75;4;1;3,0
HJK;2020;5;III;10 a 14;0,15;22;3;3,3
HJK;2020;5;IV;15 a 19;0,25;13;2;3,25
HJK;2020;5;V;20 a 24;0,4;10;2;4,0
HJK;2020;5;VI;25 a 29;0,55;6;1;3,3
HJK;2020;5;VII;30 a 34;0,75;5;1;3,75
HJK;2020;6;III;10 a 14;0,15;11;1;1,65
HJK;2020;6;IV;15 a 19;0,25;9;2;2,25
HJK;2020;6;VI;25 a 29;0,55;9;3;4,95
HJK;2020;6;VII;30 a 34;0,75;4;2;3,0
HJK;2020;7;III;10 a 14;0,15;11;2;1,65
HJK;2020;7;IV;15 a 19;0,25;9;1;2,25
HJK;2020;7;VII;30 a 34;0,75;7;4;5,25
HJK;2020;8;IV;15 a 19;0,25;7;1;1,75
HJK;2020;8;VI;25 a 29;0,55;11;4;6,05
HJK;2020;8;VII;30 a 34;0,75;8;3;6,0
HJK;2020;8;VIII;> 34;0,85;5;3;4,25
HJK;2020;9;V;20 a 24;0,4;10;2;4,0
HJK;2020;9;VI;25 a 29;0,55;4;2;2,2
HJK;2020;9;VII;30 a 34;0,75;4;1;3,0
HJK;2020;9;VIII;> 34;0,85;3;3;2,55
HJK;2020;10;II;5 a 9;0,08;3;1;0,24
HJK;2020;10;IV;15 a 19;0,25;14;4;3,5
HJK;2020;10;V;20 a 24;0,4;9;4;3,6
HJK;2020;10;VI;25 a 29;0,55;7;2;3,85
HJK;2020;10;VII;30 a 34;0,75;3;1;2,25
HJK;2020;10;VIII;> 34;0,85;1;1;0,85
HJK;2020;11;IV;15 a 19;0,25;11;1;2,75
HJK;2020;11;V;20 a 24;0,4;9;2;3,6
HJK;2020;11;VII;30 a 34;0,75;4;2;3,0
HJK;2020;12;III;10 a 14;0,15;22;2;3,3
HJK;2020;12;IV;15 a 19;0,25;6;1;1,5
HJK;2020;12;VI;25 a 29;0,55;8;1;4,4
HJK;2020;12;VII;30 a 34;0,75;3;2;2,25
HJK;2021;1;III;10 a 14;0,15;18;1;2,7
HJK;2021;1;IV;15 a 19;0,25;15;1;3,75
HJK;2021;1;VI;25 a 29;0,55;13;3;7,15
HJK;2021;1;VII;30 a 34;0,75;5;3;3,75
HJK;2021;1;VIII;> 34;0,85;4;4;3,4
HJK;2021;2;III;10 a 14;0,15;20;4;3,0
HJK;2021;2;IV;15 a 19;0,25;31;7;7,75
HJK;2021;2;V;20 a 24;0,4;10;1;4,0
HJK;2021;2;VI;25 a 29;0,55;15;5;8,25
HJK;2021;2;VII;30 a 34;0,75;8;5;6,0
HJK;2021;2;VIII;> 34;0,85;5;4;4,25
HJK;2021;3;III;10 a 14;0,15;25;6;3,75
HJK;2021;3;IV;15 a 19;0,25;36;11;9,0
HJK;2021;3;V;20 a 24;0,4;25;11;10,0
HJK;2021;3;VI;25 a 29;0,55;15;7;8,25
HJK;2021;3;VII;30 a 34;0,75;14;5;10,5
HJK;2021;3;VIII;> 34;0,85;12;6;10,2
HJK;2021;4;II;5 a 9;0,08;12;2;0,96
HJK;2021;4;III;10 a 14;0,15;21;2;3,15
HJK;2021;4;IV;15 a 19;0,25;21;8;5,25
HJK;2021;4;V;20 a 24;0,4;10;3;4,0
HJK;2021;4;VI;25 a 29;0,55;17;4;9,35
HJK;2021;4;VII;30 a 34;0,75;9;7;6,75
HJK;2021;4;VIII;> 34;0,85;16;8;13,6
HJK;2021;5;I;0 a 4;0,04;8;2;0,32
HJK;2021;5;II;5 a 9;0,08;24;1;1,92
HJK;2021;5;III;10 a 14;0,15;24;3;3,6
HJK;2021;5;IV;15 a 19;0,25;14;5;3,5
HJK;2021;5;V;20 a 24;0,4;9;2;3,6
HJK;2021;5;VI;25 a 29;0,55;8;3;4,4
HJK;2021;5;VII;30 a 34;0,75;19;8;14,25
HJK;2021;5;VIII;> 34;0,85;8;5;6,8
HJK;2021;6;I;0 a 4;0,04;15;1;0,6
HJK;2021;6;II;5 a 9;0,08;24;3;1,92
HJK;2021;6;III;10 a 14;0,15;27;3;4,05
HJK;2021;6;IV;15 a 19;0,25;12;2;3,0
HJK;2021;6;V;20 a 24;0,4;11;3;4,4
HJK;2021;6;VI;25 a 29;0,55;9;3;4,95
HJK;2021;6;VII;30 a 34;0,75;14;3;10,5
HJK;2021;6;VIII;> 34;0,85;11;6;9,35
HJK;2021;7;II;5 a 9;0,08;13;3;1,04
HJK;2021;7;IV;15 a 19;0,25;25;3;6,25
HJK;2021;7;V;20 a 24;0,4;12;5;4,8
HJK;2021;7;VI;25 a 29;0,55;11;3;6,05
HJK;2021;7;VII;30 a 34;0,75;12;2;9,0
HJK;2021;7;VIII;> 34;0,85;8;4;6,8
HJK;2021;8;I;0 a 4;0,04;4;1;0,16
HJK;2021;8;II;5 a 9;0,08;16;1;1,28
HJK;2021;8;III;10 a 14;0,15;27;3;4,05
HJK;2021;8;IV;15 a 19;0,25;28;3;7,0
HJK;2021;8;V;20 a 24;0,4;6;2;2,4
HJK;2021;8;VI;25 a 29;0,55;6;2;3,3
HJK;2021;8;VIII;> 34;0,85;5;2;4,25
HJK;2021;9;III;10 a 14;0,15;21;2;3,15
HJK;2021;9;IV;15 a 19;0,25;16;3;4,0
HJK;2021;9;V;20 a 24;0,4;5;2;2,0
HJK;2021;9;VI;25 a 29;0,55;2;1;1,1
HJK;2021;9;VII;30 a 34;0,75;4;1;3,0
HJK;2021;9;VIII;> 34;0,85;3;2;2,55
HJK;2021;10;II;5 a 9;0,08;10;1;0,8
HJK;2021;10;III;10 a 14;0,15;13;1;1,95
HJK;2021;10;IV;15 a 19;0,25;22;3;5,5
HJK;2021;10;V;20 a 24;0,4;8;1;3,2
HJK;2021;10;VI;25 a 29;0,55;8;6;4,4
HJK;2021;10;VIII;> 34;0,85;4;1;3,4
HJK;2021;11;III;10 a 14;0,15;20;1;3,0
HJK;2021;11;IV;15 a 19;0,25;23;2;5,75
HJK;2021;11;V;20 a 24;0,4;18;1;7,2
HJK;2021;11;VI;25 a 29;0,55;9;2;4,95
HJK;2021;11;VIII;> 34;0,85;3;1;2,55
HJK;2021;12;II;5 a 9;0,08;13;1;1,04
HJK;2021;12;III;10 a 14;0,15;22;1;3,3
HJK;2021;12;IV;15 a 19;0,25;26;5;6,5
HJK;2021;12;V;20 a 24;0,4;18;1;7,2
HJK;2021;12;VIII;> 34;0,85;4;2;3,4
HJK;2022;1;III;10 a 14;0,15;31;3;4,65
HJK;2022;1;IV;15 a 19;0,25;28;5;7,0
HJK;2022;1;V;20 a 24;0,4;14;2;5,6
HJK;2022;1;VI;25 a 29;0,55;14;4;7,7
HJK;2022;1;VII;30 a 34;0,75;6;4;4,5
HJK;2022;1;VIII;> 34;0,85;5;1;4,25
HJK;2022;2;III;10 a 14;0,15;19;2;2,85
HJK;2022;2;IV;15 a 19;0,25;25;5;6,25
HJK;2022;2;V;20 a 24;0,4;17;3;6,8
HJK;2022;2;VI;25 a 29;0,55;9;3;4,95
HJK;2022;2;VII;30 a 34;0,75;8;4;6,0
HJK;2022;3;II;5 a 9;0,08;6;1;0,48
HJK;2022;3;IV;15 a 19;0,25;9;2;2,25
HJK;2022;3;V;20 a 24;0,4;6;1;2,4
HJK;2022;3;VI;25 a 29;0,55;10;3;5,5
HJK;2022;3;VII;30 a 34;0,75;4;3;3,0
HJK;2022;4;III;10 a 14;0,15;22;1;3,3
HJK;2022;4;IV;15 a 19;0,25;13;2;3,25
HJK;2022;4;VI;25 a 29;0,55;3;1;1,65
HJK;2022;4;VII;30 a 34;0,75;2;1;1,5
HJK;2022;5;IV;15 a 19;0,25;18;4;4,5
HJK;2022;5;V;20 a 24;0,4;18;4;7,2
HJK;2022;5;VI;25 a 29;0,55;7;3;3,85
HJK;2022;5;VII;30 a 34;0,75;4;4;3,0
HJK;2022;6;II;5 a 9;0,08;9;1;0,72
HJK;2022;6;IV;15 a 19;0,25;18;4;4,5
HJK;2022;6;V;20 a 24;0,4;13;4;5,2
HJK;2022;6;VII;30 a 34;0,75;4;1;3,0
HJK;2022;7;III;10 a 14;0,15;16;3;2,4
HJK;2022;7;IV;15 a 19;0,25;19;2;4,75
HJK;2022;7;V;20 a 24;0,4;11;3;4,4
HJK;2022;7;VI;25 a 29;0,55;4;2;2,2
HJK;2022;7;VII;30 a 34;0,75;4;4;3,0
HJK;2022;8;III;10 a 14;0,15;19;1;2,85
HJK;2022;8;V;20 a 24;0,4;3;2;1,2
HJK;2022;8;VI;25 a 29;0,55;6;1;3,3
HJK;2022;8;VII;30 a 34;0,75;2;1;1,5
HJK;2022;9;III;10 a 14;0,15;17;1;2,55
HJK;2022;9;IV;15 a 19;0,25;11;1;2,75
HJK;2022;9;VII;30 a 34;0,75;2;1;1,5
HJK;2022;10;V;20 a 24;0,4;6;1;2,4
HJK;2022;10;VI;25 a 29;0,55;10;2;5,5
HJK;2022;10;VII;30 a 34;0,75;7;4;5,25
HJK;2022;11;III;10 a 14;0,15;10;1;1,5
HJK;2022;11;VI;25 a 29;0,55;4;1;2,2
